Duration (in seconds),"Hoja de Información



Título del estudio: Opiniones sobre políticos Investigadores: Santiago Ventura (Universidad de Warwick), Tim Mullett (Universidad de Warwick), y Nick Chater (Universidad de Warwick).



Financiamiento: Esta investigación es financiada por la Warwick Business School (Universidad de Warwick).



Objetivos y duración del proyecto: Este estudio tiene como objetivo entender mejor las opiniones de las personas sobre políticos de Chile. La duración estimada del estudio es de 2 a 3 minutos.



Metodología y participación: En este estudio se te preguntará tu opinión sobre un político chileno y se te pedirá completar un breve cuestionario demográfico (e.g. edad, género) y finalmente, por quién crees que votarás en las elecciones presidenciales.



Riesgos y beneficios: Participar en este estudio no implica riesgos mayores que los que se encuentran en la vida diaria. No podemos garantizar que recibirás beneficios por participar.



Participación voluntaria: Tu participación es completamente voluntaria. Puedes retirarte en cualquier momento, simplemente cerrando el navegador. Sin embargo, solo podremos pagarte si completas la encuesta.



Privacidad: Para proteger tu privacidad, no se recogerá información directamente identificable (e.g. nombre, correo electrónico o dirección). Los datos serán anonimizados lo antes posible tras la recolección y no será posible retirarlos después de este punto.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es capaz.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es un/a experto/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] cumple muy bien con su deber.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - Si los ciudadanos necesitan ayuda, [Field-Politician] hará lo posible para ayudarles.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] actúa en interés de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] está genuinamente interesado/a en el bienestar de los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] tiene un acercamiento sincero con los ciudadanos.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es sincero/a.","Cuando se trata de [Field-Politician], ¿hasta qué punto estás de acuerdo o en desacuerdo con las siguientes afirmaciones? - [Field-Politician] es honesto/a.","¿Durante esta encuesta, sobre qué político estabas pensando?","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Selected Choice","Políticamente hablando, ¿te identificas más con la Izquierda o la Derecha? - Otro - Text",¿Dirías que eres fuertemente de Derecha o no tan fuertemente de Derecha?,¿Dirías que eres fuertemente de Izquierda o no tan fuertemente de Izquierda?,"Si tuvieras que elegir, ¿te sentirías más cercano con la Izquierda o la Derecha?",¿Qué tan importante es tu identificación política para tí?,¿Con qué género te identificas? - Selected Choice,¿Qué edad tienes?,"Las elecciones presidenciales se llevarán a cabo el próximo domingo 16 de Noviembre, ¿por quién planeas votar?",rid,Politician,MatrixResponses,Consent,Attention
122,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Ninguno/Sin preferencia,,,,Ninguno,Muy importante,Femenino,48,Johannes Kaiser Barents-von Hohenhagen,6916e01e-ebee-1ae0-f3bd-9edcb3e7f4d6,Jeannette Jara,"Totalmente en desacuerdo, Algo en desacuerdo",1,1
129,Doy consentimiento para participar en este estudio.,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo de acuerdo,Algo de acuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Jeannette Jara,Otro,Centro,,,Más cercano con la Derecha,Moderadamente importante,Masculino,44,José Antonio Kast Rist,6916e09d-468e-91be-0612-9a4e04aa5bcf,Jeannette Jara,"Algo de acuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
132,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,20,José Antonio Kast Rist,6916e14d-f267-61db-3284-226cbfdc403f,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
158,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,53,José Antonio Kast Rist,6916e17b-8312-74da-2f50-6dc03ab86304,José Antonio Kast,"Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
86,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Muy importante,Masculino,33,José Antonio Kast Rist,6916e17d-46e1-af46-4ca5-a6d81272c0a0,Jeannette Jara,Totalmente en desacuerdo,1,1
221,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,62,Johannes Kaiser Barents-von Hohenhagen,6916e253-7462-9a71-aca1-f36401be8af4,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo, Ni de acuerdo ni en desacuerdo, Algo de acuerdo",1,1
131,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Algo de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Muy importante,Masculino,33,Jeannette Jara Román,6916e253-c498-7111-a190-4f78477d6240,Jeannette Jara,"Totalmente de acuerdo, Algo de acuerdo",1,1
122,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Otro,Centro ,,,Ninguno,Extremadamente importante,Femenino,52,Harlod Mayne-Nicholls Sécul,691745c9-a382-beb9-4e46-3e291b2c2309,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
117,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,53,Evelyn Matthei Fornet,691745cd-58ba-69ef-b285-28b7f16a4a77,José Antonio Kast,"Ni de acuerdo ni en desacuerdo, Algo de acuerdo, Algo en desacuerdo",1,1
98,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,Fuertemente de Derecha,,,Muy importante,Femenino,26,José Antonio Kast Rist,691745d2-1852-ddf9-bb1a-3679e72099f6,José Antonio Kast,Totalmente de acuerdo,1,1
146,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,José Antonio Kast,Izquierda,,,No tan fuertemente de Izquierda,,Moderadamente importante,Masculino,57,Jeannette Jara Román,691745d6-0afc-aabb-299a-7e8e92ce87b2,José Antonio Kast,"Totalmente en desacuerdo, Algo en desacuerdo, Ni de acuerdo ni en desacuerdo",1,1
99,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente de acuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo de acuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,Fuertemente de Derecha,,,Nada importante,Masculino,26,Jeannette Jara Román,691745d9-0848-2bb3-58c7-7e32be4dc60f,Jeannette Jara,"Algo de acuerdo, Totalmente en desacuerdo, Totalmente de acuerdo",1,1
75,Doy consentimiento para participar en este estudio.,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,Totalmente de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Femenino,22,José Antonio Kast Rist,691745db-e02d-267c-fdbf-c41ec890c6bf,José Antonio Kast,Totalmente de acuerdo,1,1
153,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Ninguno/Sin preferencia,,,,Ninguno,Extremadamente importante,Femenino,55,Franco Parisi Fernández,69174de5-45b0-d034-9cc2-d39a86f95297,José Antonio Kast,"Algo de acuerdo, Ni de acuerdo ni en desacuerdo",1,1
75,Doy consentimiento para participar en este estudio.,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Jeannette Jara,Izquierda,,,No tan fuertemente de Izquierda,,Nada importante,Femenino,31,Harlod Mayne-Nicholls Sécul,69174eaf-9113-d058-c1c7-6bdfc6d004f1,Jeannette Jara,Ni de acuerdo ni en desacuerdo,1,1
96,Doy consentimiento para participar en este estudio.,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,Algo de acuerdo,José Antonio Kast,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,51,José Antonio Kast Rist,691753a1-1cf6-546a-0f1c-d0d1a8c4740f,José Antonio Kast,Algo de acuerdo,1,1
339,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Jeannette Jara,Derecha,,No tan fuertemente de Derecha,,,Moderadamente importante,Masculino,43,Evelyn Matthei Fornet,691753ab-4461-c9b7-6a72-69990a2c5132,Jeannette Jara,Totalmente en desacuerdo,1,1
257,Doy consentimiento para participar en este estudio.,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Totalmente en desacuerdo,Totalmente en desacuerdo,Algo en desacuerdo,Algo en desacuerdo,José Antonio Kast,Otro,centro derecha,,,Más cercano con la Derecha,Moderadamente importante,Femenino,57,Johannes Kaiser Barents-von Hohenhagen,69175460-3e33-dd2a-a0eb-d2f013ec7d1b,José Antonio Kast,"Algo en desacuerdo, Totalmente en desacuerdo",1,1
